City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
789,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
799,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
800,Pangai,TO,80.92,light rain,-19.8,-174.35,Ha'apai Beach Resort
801,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
804,Tambacounda,SN,87.85,broken clouds,13.7539,-13.7586,
808,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
817,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
822,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
826,Port-Gentil,GA,81.14,overcast clouds,-0.7193,8.7815,Fengshui Residence
842,Ambanja,MG,75.36,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
845,Dingle,PH,75.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
850,Sri Aman,MY,75.25,light rain,1.2376,111.4621,Seri Simanggang Hotel
861,San Policarpo,PH,77.47,broken clouds,12.1791,125.5072,Agapita M. Nicart
862,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
864,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
867,Anaco,VE,79.34,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
869,Calabozo,VE,86.86,few clouds,8.9242,-67.4293,Hotel Giardini
877,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
881,Rafaela,AR,76.21,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
883,Bengkulu,ID,75.49,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
890,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
892,Lafiagi,NG,77.13,overcast clouds,8.8667,5.4167,Bus group international
894,Tobias Barreto,BR,75.65,scattered clouds,-11.1839,-37.9983,Pousada Moura
898,Puerto Gaitan,CO,89.65,overcast clouds,4.3133,-72.0816,Brisas del Yucao
899,Ulladulla,AU,79.09,clear sky,-35.35,150.4667,Sandpiper Motel
904,Santa Rosa,PH,78.85,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
905,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
916,Thinadhoo,MV,81.61,broken clouds,0.5333,72.9333,
920,Hambantota,LK,75.76,few clouds,6.1241,81.1185,Bungalow 63
922,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
927,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
930,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
931,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
934,Flinders,AU,82.06,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
