City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
128,Saint-Augustin,51.226,-58.6502,27.3,92,99,29.19,overcast clouds,
129,Los Llanos De Aridane,28.6585,-17.9182,60.55,80,7,7.0,clear sky,
130,Mount Gambier,-37.8333,140.7667,62.51,94,100,6.91,overcast clouds,
131,Conceicao Do Araguaia,-8.2578,-49.2647,76.69,89,100,4.18,overcast clouds,
132,Moreira Sales,-24.0622,-53.0069,80.06,72,29,3.87,scattered clouds,
133,Hofn,64.2539,-15.2082,26.11,50,0,23.24,clear sky,
134,Abu Kamal,34.4506,40.9171,47.12,59,44,9.4,scattered clouds,
135,Ilulissat,69.2167,-51.1,6.82,72,75,20.71,broken clouds,
136,Ambanja,-13.6833,48.45,76.03,92,99,2.91,light rain,
137,Debre Sina,9.85,39.7667,48.29,54,5,1.52,clear sky,
138,Elko,41.0002,-115.5012,42.06,48,6,4.0,clear sky,
139,Dingle,10.9995,122.6711,74.5,93,82,3.42,broken clouds,
140,Yinchuan,38.4681,106.2731,16.7,30,0,6.51,clear sky,
141,Ilhabela,-23.7781,-45.3581,74.93,91,100,0.45,overcast clouds,
142,Narsaq,60.9167,-46.05,21.42,67,100,12.91,light snow,
143,Lixourion,38.2019,20.4314,51.42,65,3,15.39,clear sky,
144,Sri Aman,1.2376,111.4621,77.09,94,100,0.0,overcast clouds,
145,Parksville,49.3163,-124.3195,45.64,99,100,1.99,light rain,
146,San Cristobal,7.7669,-72.225,71.78,57,95,4.81,overcast clouds,
147,Zhanaozen,43.3,52.8,38.88,86,100,12.88,overcast clouds,
148,Mar Del Plata,-38.0023,-57.5575,82.42,89,75,20.0,moderate rain,
149,Laguna,38.421,-121.4238,63.64,62,0,1.99,clear sky,
150,Vanavara,60.34,102.2797,-17.57,100,100,1.66,overcast clouds,
151,Namibe,-15.1961,12.1522,73.36,71,100,6.08,overcast clouds,
152,Cidreira,-30.1811,-50.2056,74.97,68,7,17.45,clear sky,
153,Haimen,23.1935,116.6142,51.69,73,92,17.6,overcast clouds,
154,Hartselle,34.4434,-86.9353,59.86,49,0,10.31,clear sky,
155,San Policarpo,12.1791,125.5072,77.99,83,23,0.49,few clouds,
156,Touros,-5.1989,-35.4608,85.1,74,21,12.84,few clouds,
157,Masakin,35.7292,10.5808,55.6,46,0,3.22,clear sky,
158,Omboue,-1.5746,9.2618,78.94,83,100,4.68,light rain,
159,Kruisfontein,-34.0033,24.7314,71.89,95,74,6.11,broken clouds,
160,Te Anau,-45.4167,167.7167,63.75,76,21,0.04,few clouds,
161,Anaco,9.4389,-64.4728,85.57,40,93,6.42,overcast clouds,
162,Komsomolskiy,40.4272,71.7189,31.42,86,75,2.3,mist,
163,Calabozo,8.9242,-67.4293,94.66,19,23,8.99,few clouds,
164,Starkville,33.4504,-88.8184,62.26,42,5,9.51,clear sky,
165,Bikin,46.8161,134.26,-21.33,100,46,1.88,scattered clouds,
166,Sitka,57.0531,-135.33,37.29,70,75,8.05,broken clouds,
167,Baherden,38.4362,57.4316,43.02,52,2,7.09,clear sky,
168,Seymchan,62.8833,152.4333,-22.02,96,87,4.09,overcast clouds,
169,Varhaug,58.6147,5.6457,36.48,64,100,5.12,overcast clouds,
170,Bethel,41.3712,-73.414,26.01,46,0,3.0,clear sky,
171,Mahebourg,-20.4081,57.7,79.25,94,75,9.22,broken clouds,
172,Nouadhibou,20.931,-17.0347,66.18,63,100,14.97,overcast clouds,
173,Aleksandrovskiy Zavod,50.9237,117.9374,-18.45,97,47,3.36,scattered clouds,
174,Dukat,62.55,155.55,-14.62,99,93,5.41,overcast clouds,
175,Rafaela,-31.2503,-61.4867,91.98,17,0,1.01,clear sky,
176,Codrington,-38.2667,141.9667,64.15,93,42,5.84,scattered clouds,
